hit_id,colloc,sent_text,nr_form,neg_form,adv_form,adj_form,text_window,sent_id,prev_sent,sent_text,token_str,lemma_str,next_sent,nr_lemma,neg_lemma,adv_lemma,adj_lemma,nr_index,neg_index,adv_index,adj_index,dep_negraise_source,dep_negraise_target,dep_negraise_relation,dep_neg_source,dep_neg_target,dep_neg_relation,dep_mod_source,dep_mod_target,dep_mod_relation,json_source,match_ix,colloc,category
nyt_eng_19980523_0055_27:0-3-4,this_complicated,"Nothing looked quite this complicated when President Clinton began declaring , six years ago , that foreign policy and economic policy are one .",looked,nothing,this,complicated,nothing looked quite this complicated when President,nyt_eng_19980523_0055_27,"And the new president , B.J. Habibie , hardly inspires investor confidence .","Nothing looked quite this complicated when President Clinton began declaring , six years ago , that foreign policy and economic policy are one .","nothing looked quite this complicated when President Clinton began declaring , six years ago , that foreign policy and economic policy are one .","nothing look quite this complicated when President Clinton begin declare , six year ago , that foreign policy and economic policy be one .",Economic engagement was supposed to spread U.S. influence .,looked,nothing,this,complicated,1,0,3,4,"{'lemma': 'look', 'ix': 1, 'xpos': 'VBD', 'deprel': 'root', 'head': '.'}","{'lemma': 'complicated', 'ix': 4, 'xpos': 'JJ', 'deprel': 'acomp', 'head': 'look'}",acomp,"{'lemma': 'look', 'ix': 1, 'xpos': 'VBD', 'deprel': 'root', 'head': '.'}","{'lemma': 'nothing', 'ix': 0, 'xpos': 'NN', 'deprel': 'nsubj', 'head': 'look'}",nsubj,"{'lemma': 'complicated', 'ix': 4, 'xpos': 'JJ', 'deprel': 'acomp', 'head': 'look'}","{'lemma': 'this', 'ix': 3, 'xpos': 'RB', 'deprel': 'advmod', 'head': 'complicated'}",advmod,nyt_eng_199805,0-3-4,this_complicated,NegRaise
nyt_eng_19980523_0055_11:5-7-8,so_threatening,"After all , they did n't look so threatening .",look,n't,so,threatening,they did n't look so threatening .,nyt_eng_19980523_0055_11,And who would have bet that the triggermen in this Javanese shadow play would include a bunch of Ph.D. economists at the International Monetary Fund ?,"After all , they did n't look so threatening .","after all , they did n't look so threatening .","after all , they did not look so threatening .",They talked in banker-speak about  -LBQ-  structural adjustments  -RDQ-  and  -LBQ-  conditionality  -RDQ-  on a $ 43 billion bailout package .,look,n't,so,threatening,6,5,7,8,"{'lemma': 'look', 'ix': 6, 'xpos': 'VB', 'deprel': 'root', 'head': '.'}","{'lemma': 'threatening', 'ix': 8, 'xpos': 'JJ', 'deprel': 'acomp', 'head': 'look'}",acomp,"{'lemma': 'look', 'ix': 6, 'xpos': 'VB', 'deprel': 'root', 'head': '.'}","{'lemma': 'not', 'ix': 5, 'xpos': 'RB', 'deprel': 'neg', 'head': 'look'}",neg,"{'lemma': 'threatening', 'ix': 8, 'xpos': 'JJ', 'deprel': 'acomp', 'head': 'look'}","{'lemma': 'so', 'ix': 7, 'xpos': 'RB', 'deprel': 'advmod', 'head': 'threatening'}",advmod,nyt_eng_199805,5-7-8,so_threatening,NegRaise
nyt_eng_19980522_0154_63:2-15-16,very_marketable,Magazines did n't want to do a story on a child because it is n't very marketable .,want,n't,very,marketable,magazines did n't want to do a story on a child because it is n't very marketable .,nyt_eng_19980522_0154_63,I get some risque stuff and it helps me as far as getting publicity .,Magazines did n't want to do a story on a child because it is n't very marketable .,magazines did n't want to do a story on a child because it is n't very marketable .,magazine did not want to do a story on a child because it be not very marketable .,They think readers want to read about people their own age .,want,n't,very,marketable,3,2,15,16,"{'lemma': 'want', 'ix': 3, 'xpos': 'VB', 'deprel': 'root', 'head': '.'}","{'lemma': 'marketable', 'ix': 16, 'xpos': 'JJ', 'deprel': 'advcl', 'head': 'want'}",advcl,"{'lemma': 'want', 'ix': 3, 'xpos': 'VB', 'deprel': 'root', 'head': '.'}","{'lemma': 'not', 'ix': 2, 'xpos': 'RB', 'deprel': 'neg', 'head': 'want'}",neg,"{'lemma': 'marketable', 'ix': 16, 'xpos': 'JJ', 'deprel': 'advcl', 'head': 'want'}","{'lemma': 'very', 'ix': 15, 'xpos': 'RB', 'deprel': 'advmod', 'head': 'marketable'}",advmod,nyt_eng_199805,2-15-16,very_marketable,NegRaise
nyt_eng_19980521_0002_7:12-14-15,particularly_friendly,"It was an odd thing to say , for the army was not looking particularly friendly at that moment .",looking,not,particularly,friendly,army was not looking particularly friendly at that,nyt_eng_19980521_0002_7,-LBQ-  The army is our friend .  -RDQ-,"It was an odd thing to say , for the army was not looking particularly friendly at that moment .","it was an odd thing to say , for the army was not looking particularly friendly at that moment .","it be a odd thing to say , for the army was not look particularly friendly at that moment .",Troops had erected barbed wire barricades backed by tanks to block access to the square in Jakarta where a major rally had been planned for Thursday .,looking,not,particularly,friendly,13,12,14,15,"{'lemma': 'look', 'ix': 13, 'xpos': 'VBG', 'deprel': 'ccomp', 'head': 'thing'}","{'lemma': 'friendly', 'ix': 15, 'xpos': 'JJ', 'deprel': 'acomp', 'head': 'look'}",acomp,"{'lemma': 'look', 'ix': 13, 'xpos': 'VBG', 'deprel': 'ccomp', 'head': 'thing'}","{'lemma': 'not', 'ix': 12, 'xpos': 'RB', 'deprel': 'neg', 'head': 'look'}",neg,"{'lemma': 'friendly', 'ix': 15, 'xpos': 'JJ', 'deprel': 'acomp', 'head': 'look'}","{'lemma': 'particularly', 'ix': 14, 'xpos': 'RB', 'deprel': 'advmod', 'head': 'friendly'}",advmod,nyt_eng_199805,12-14-15,particularly_friendly,NegRaise
nyt_eng_19980520_0488_40:3-8-9,that_diverse,"-LBQ-  I did n't think it would be that diverse or that inclusive ,  -RDQ-  said Allen , the kind of minority student colleges fight over because he has a grade point average above 4.0 and a combined SAT score of 1380 .",think,n't,that,diverse,I did n't think it would be that diverse or that,nyt_eng_19980520_0488_40,"But he acknowledged that when he thought about the small number of blacks that would be in his Berkeley class , he was concerned .","-LBQ-  I did n't think it would be that diverse or that inclusive ,  -RDQ-  said Allen , the kind of minority student colleges fight over because he has a grade point average above 4.0 and a combined SAT score of 1380 .","`` I did n't think it would be that diverse or that inclusive , '' said Allen , the kind of minority student colleges fight over because he has a grade point average above 4.0 and a combined SAT score of 1380 .","`` I did not think it would be that diverse or that inclusive , '' say Allen , the kind of minority student college fight over because he have a grade point average above 4.0 and a combine SAT score of 1380 .",-LBQ-  But I do n't think that 's what made my decision .  -RDQ-,think,n't,that,diverse,4,3,8,9,"{'lemma': 'think', 'ix': 4, 'xpos': 'VB', 'deprel': 'ccomp', 'head': 'say'}","{'lemma': 'diverse', 'ix': 9, 'xpos': 'JJ', 'deprel': 'ccomp', 'head': 'think'}",ccomp,"{'lemma': 'think', 'ix': 4, 'xpos': 'VB', 'deprel': 'ccomp', 'head': 'say'}","{'lemma': 'not', 'ix': 3, 'xpos': 'RB', 'deprel': 'neg', 'head': 'think'}",neg,"{'lemma': 'diverse', 'ix': 9, 'xpos': 'JJ', 'deprel': 'ccomp', 'head': 'think'}","{'lemma': 'that', 'ix': 8, 'xpos': 'RB', 'deprel': 'advmod', 'head': 'diverse'}",advmod,nyt_eng_199805,3-8-9,that_diverse,NegRaise
nyt_eng_19980519_0367_8:10-18-19,very_different,"To be sure , the show at the Corcoran does n't look , at least at first , very different from others that have preceded it .",look,n't,very,different,"Corcoran does n't look , at least at first , very different from others",nyt_eng_19980519_0367_8,"And that , far from being restricted to New York , it drew energies from other American cities , as well as from the Caribbean and Europe .","To be sure , the show at the Corcoran does n't look , at least at first , very different from others that have preceded it .","to be sure , the show at the Corcoran does n't look , at least at first , very different from others that have preceded it .","to be sure , the show at the Corcoran does not look , at least at first , very different from other that have precede it .","Organized by the Hayward Gallery in London , where it had its debut last year , it was the first comprehensive presentation of its subject in Europe .",look,n't,very,different,11,10,18,19,"{'lemma': 'look', 'ix': 11, 'xpos': 'VB', 'deprel': 'root', 'head': '.'}","{'lemma': 'different', 'ix': 19, 'xpos': 'JJ', 'deprel': 'acomp', 'head': 'look'}",acomp,"{'lemma': 'look', 'ix': 11, 'xpos': 'VB', 'deprel': 'root', 'head': '.'}","{'lemma': 'not', 'ix': 10, 'xpos': 'RB', 'deprel': 'neg', 'head': 'look'}",neg,"{'lemma': 'different', 'ix': 19, 'xpos': 'JJ', 'deprel': 'acomp', 'head': 'look'}","{'lemma': 'very', 'ix': 18, 'xpos': 'RB', 'deprel': 'advmod', 'head': 'different'}",advmod,nyt_eng_199805,10-18-19,very_different,NegRaise
nyt_eng_19980518_0392_16:3-8-9,that_concerned,-LBQ-  I do n't think he 's all that concerned about it .,think,n't,that,concerned,I do n't think he 's all that concerned about it,nyt_eng_19980518_0392_16,"-LBQ-  I 'm sure he 'll be fine , unless the press builds it all up ,  -RDQ-  said Chicago manager Jerry Manuel , who has a long relationship with Cordero and is the primary reason the 26-year-old infielder is back in baseball .",-LBQ-  I do n't think he 's all that concerned about it .,`` I do n't think he 's all that concerned about it .,`` I do not think he be all that concerned about it .,And I 'm sure there will be a lot of his friends back there who will be glad to see him playing .  -RDQ-,think,n't,that,concerned,4,3,8,9,"{'lemma': 'think', 'ix': 4, 'xpos': 'VB', 'deprel': 'root', 'head': '.'}","{'lemma': 'concerned', 'ix': 9, 'xpos': 'JJ', 'deprel': 'ccomp', 'head': 'think'}",ccomp,"{'lemma': 'think', 'ix': 4, 'xpos': 'VB', 'deprel': 'root', 'head': '.'}","{'lemma': 'not', 'ix': 3, 'xpos': 'RB', 'deprel': 'neg', 'head': 'think'}",neg,"{'lemma': 'concerned', 'ix': 9, 'xpos': 'JJ', 'deprel': 'ccomp', 'head': 'think'}","{'lemma': 'that', 'ix': 8, 'xpos': 'RB', 'deprel': 'advmod', 'head': 'concerned'}",advmod,nyt_eng_199805,3-8-9,that_concerned,NegRaise
nyt_eng_19980518_0254_7:39-41-42,so_warm,"But 40 years later , after the technological terrors of Chernobyl and Bhopal and dystopian films and books such as  -LBQ-  Blade Runner ,  -RDQ-   -LBQ-  Alien  -RDQ-  and William Gibson 's  -LBQ-  Neuromancer ,  -RDQ-  the future does n't look so warm and fuzzy anymore .",look,n't,so,warm,future does n't look so warm and fuzzy,nyt_eng_19980518_0254_7,"Though it was the least-finished part of the pioneering theme park when it opened , Tomorrowland would soon have an MIT-designed plastic house , a streamlined Rocket to the Moon and a optimistic vision of technology that promised the ability to overcome any limits .","But 40 years later , after the technological terrors of Chernobyl and Bhopal and dystopian films and books such as  -LBQ-  Blade Runner ,  -RDQ-   -LBQ-  Alien  -RDQ-  and William Gibson 's  -LBQ-  Neuromancer ,  -RDQ-  the future does n't look so warm and fuzzy anymore .","but 40 years later , after the technological terrors of Chernobyl and Bhopal and dystopian films and books such as `` Blade Runner , '' `` Alien '' and William Gibson 's `` Neuromancer , '' the future does n't look so warm and fuzzy anymore .","but 40 year later , after the technological terror of Chernobyl and bhopal and dystopian film and book such as `` Blade Runner , '' `` Alien '' and William Gibson 's `` Neuromancer , '' the future does not look so warm and fuzzy anymore .","Which made it difficult for Disney 's Imagineers to keep Tomorrowland both part of the  -LBQ-  Happiest Place on Earth ,  -RDQ-  and hip and forward looking , said Tony Baxter , a Disney senior vice president of creative services .",look,n't,so,warm,40,39,41,42,"{'lemma': 'look', 'ix': 40, 'xpos': 'VB', 'deprel': 'root', 'head': '.'}","{'lemma': 'warm', 'ix': 42, 'xpos': 'JJ', 'deprel': 'acomp', 'head': 'look'}",acomp,"{'lemma': 'look', 'ix': 40, 'xpos': 'VB', 'deprel': 'root', 'head': '.'}","{'lemma': 'not', 'ix': 39, 'xpos': 'RB', 'deprel': 'neg', 'head': 'look'}",neg,"{'lemma': 'warm', 'ix': 42, 'xpos': 'JJ', 'deprel': 'acomp', 'head': 'look'}","{'lemma': 'so', 'ix': 41, 'xpos': 'RB', 'deprel': 'advmod', 'head': 'warm'}",advmod,nyt_eng_199805,39-41-42,so_warm,NegRaise
nyt_eng_19980518_0162_13:3-7-8,fundamentally_new,-LBQ-  We do n't think this is fundamentally new or different .  -RDQ-,think,n't,fundamentally,new,We do n't think this is fundamentally new or different,nyt_eng_19980518_0162_13,"-LBQ-  The fundamental principles of antitrust law are pretty visible here ,  -RDQ-  said Edward J. Black , president of the Computer & Communications Industry Association , a trade group that includes telephone and computer companies .",-LBQ-  We do n't think this is fundamentally new or different .  -RDQ-,`` We do n't think this is fundamentally new or different . '',`` we do not think this be fundamentally new or different . '',"One law that Microsoft will be accused of violating , the Sherman Anti-trust Act , dates to 1890 and the days of the railway and oil barons .",think,n't,fundamentally,new,4,3,7,8,"{'lemma': 'think', 'ix': 4, 'xpos': 'VB', 'deprel': 'root', 'head': ""''""}","{'lemma': 'new', 'ix': 8, 'xpos': 'JJ', 'deprel': 'ccomp', 'head': 'think'}",ccomp,"{'lemma': 'think', 'ix': 4, 'xpos': 'VB', 'deprel': 'root', 'head': ""''""}","{'lemma': 'not', 'ix': 3, 'xpos': 'RB', 'deprel': 'neg', 'head': 'think'}",neg,"{'lemma': 'new', 'ix': 8, 'xpos': 'JJ', 'deprel': 'ccomp', 'head': 'think'}","{'lemma': 'fundamentally', 'ix': 7, 'xpos': 'RB', 'deprel': 'advmod', 'head': 'new'}",advmod,nyt_eng_199805,3-7-8,fundamentally_new,NegRaise
nyt_eng_19980518_0042_59:2-4-5,so_good,Tomorrow does n't look so good either .  -RDQ-,look,n't,so,good,tomorrow does n't look so good either .,nyt_eng_19980518_0042_59,Today is not your day .,Tomorrow does n't look so good either .  -RDQ-,tomorrow does n't look so good either . '',tomorrow does not look so good either . '',"The supermarket clerk was obviously in a bad mood , and Jerome Coopersmith was surprised at her actions _ mishandling groceries and snatching the money from customers ' hands .",look,n't,so,good,3,2,4,5,"{'lemma': 'look', 'ix': 3, 'xpos': 'VB', 'deprel': 'root', 'head': ""''""}","{'lemma': 'good', 'ix': 5, 'xpos': 'JJ', 'deprel': 'acomp', 'head': 'look'}",acomp,"{'lemma': 'look', 'ix': 3, 'xpos': 'VB', 'deprel': 'root', 'head': ""''""}","{'lemma': 'not', 'ix': 2, 'xpos': 'RB', 'deprel': 'neg', 'head': 'look'}",neg,"{'lemma': 'good', 'ix': 5, 'xpos': 'JJ', 'deprel': 'acomp', 'head': 'look'}","{'lemma': 'so', 'ix': 4, 'xpos': 'RB', 'deprel': 'advmod', 'head': 'good'}",advmod,nyt_eng_199805,2-4-5,so_good,NegRaise
