hit_id,bigram_lower,adv_form_lower,adj_form_lower,all_forms_lower,text_window,token_str
pcc_eng_26_017.6615_x0269330_07:25-26,remotely_funny,remotely,funny,(+)_remotely_funny,the way every clip containing anything even remotely funny .,"Step 1 : Watch all 10 hours of original footage , scene by scene , grabbing along the way every clip containing anything even remotely funny ."
pcc_eng_07_001.2417_x0003886_07:13-14,remotely_funny,remotely,funny,(+)_remotely_funny,the only one who finds that even remotely funny .,"Of course , I 'm the only one who finds that even remotely funny ."
pcc_eng_22_011.1220_x0163320_19:42-43,remotely_funny,remotely,funny,(+)_remotely_funny,had to be there to find it remotely funny .,"* The title of this post concerns a humorous account of how we were able to get our hands on movie tickets , but I guess it 's one of those stories where you had to be there to find it remotely funny ."
pcc_eng_15_025.8675_x0401865_07:16-17,remotely_funny,remotely,funny,(+)_remotely_funny,to a movie that may be only remotely funny is news today that professional mexican,"Giving me even more impetus to subject myself to a movie that may be only remotely funny is news today that professional Mexican wrestler , Hijo del Santo ( "" Son of the Saint "" ) , is laying an eco-smackdown on the Pacific coastline ."
pcc_eng_09_024.0538_x0373314_026:32-33,remotely_funny,remotely,funny,(+)_remotely_funny,on the offensive scale than the even remotely funny scale .,"Mac Farlane always edges into dangerous territory with Family Guy , but all of his overtly sexist jokes through the broadcast fell way more on the offensive scale than the even remotely funny scale ."
pcc_eng_03_048.5546_x0770275_06:45-46,remotely_funny,remotely,funny,(+)_remotely_funny,"acceptable high-school prank is no longer even remotely funny , if it ever was .","In the 21st century -- after the horrific events of Sept. 11 , 2001 , and more recently , after the April 15 , 2013 , Boston Marathon bombings -- what once may have passed as an acceptable high-school prank is no longer even remotely funny , if it ever was ."
pcc_eng_24_089.8933_x1437683_147:11-12,remotely_funny,remotely,funny,(+)_remotely_funny,also the last seasons that anything was remotely funny .,But those were also the last seasons that anything was remotely funny .
pcc_eng_00_082.1346_x1311602_316:17-18,remotely_funny,remotely,funny,(+)_remotely_funny,or so that john travolta has been remotely funny .,Tell me one time in the last 20 years or so that John Travolta has been remotely funny .
pcc_eng_05_099.0921_x1586736_04:7-8,remotely_funny,remotely,funny,(+)_remotely_funny,and no one is finding it remotely funny .,And no one is finding it remotely funny .
pcc_eng_20_027.0272_x0420778_14:4-5,remotely_funny,remotely,funny,(+)_remotely_funny,the only thing remotely funny is the computer - generated scooby,The only thing remotely funny is the computer - generated Scooby Doo .
pcc_eng_13_038.5415_x0607056_27:13-14,remotely_funny,remotely,funny,(+)_remotely_funny,i really have to say that any remotely funny ( or that 's what they,"With that being said , I really have to say that any remotely funny ( or that 's what they tried to be ) scenes seemed simply out of place ."
pcc_eng_19_029.1893_x0455048_30:5-6,remotely_funny,remotely,funny,(+)_remotely_funny,"there are a few remotely funny lines in the movie , but","There are a few remotely funny lines in the movie , but it never plays it like a comedy ."
pcc_eng_20_003.5885_x0041511_11:17-18,remotely_funny,remotely,funny,(+)_remotely_funny,sequences are far from hilarious or even remotely funny at most of the places .,"Although designed as a comedy , the scenes and sequences are far from hilarious or even remotely funny at most of the places ."
nyt_eng_20100815_0030_17:6-7,remotely_funny,remotely,funny,(+)_remotely_funny,"like if i see something remotely funny i might say ` hahahahahahahahahahahahahahahha ,","like if I see something remotely funny I might say ` HAHAHAHAHAHAHAHAHAHAHAHAHAHAHHA , ' when really there is no expression on my face . ''"
pcc_eng_23_040.8456_x0643828_5:10-11,remotely_funny,remotely,funny,(+)_remotely_funny,really the only time i can be remotely funny ^^ ; ;,It 's really the only time I can be remotely funny ^^ ; ;
pcc_eng_29_108.5860_x1738713_50:10-11,remotely_funny,remotely,funny,(+)_remotely_funny,i laugh when something is even just remotely funny .,"Hell , I laugh when something is even just remotely funny ."
pcc_eng_20_074.8326_x1192884_28:5-6,remotely_funny,remotely,funny,(+)_remotely_funny,""" if she 's remotely funny or interesting , try another date",""" If she 's remotely funny or interesting , try another date , "" Stewart says ."
pcc_eng_09_023.1908_x0359219_097:15-16,remotely_funny,remotely,funny,(+)_remotely_funny,age of nineteen to think it 's remotely funny .,Mostly you have to be under the age of nineteen to think it 's remotely funny .
pcc_eng_22_071.0533_x1132203_27:2-3,remotely_funny,remotely,funny,(+)_remotely_funny,or remotely funny .,Or remotely funny .
pcc_eng_00_099.0120_x1585219_055:16-17,remotely_funny,remotely,funny,(+)_remotely_funny,addition to your inability to say anything remotely funny or interesting to the person you,"But what is it like when , in addition to your inability to say anything remotely funny or interesting to the person you are into , you have a mental health problem as well ?"
pcc_eng_06_107.1522_x1717198_08:25-34-35,remotely_funny,remotely,funny,few_remotely_funny,"dog costumes , so few of the gags created by result are even remotely funny ; to just find","He only wishes for Bode , currently a head trainer for the village security squad ; all sheep in wooden dog costumes , so few of the gags created by result are even remotely funny ; to just find the natural energy his chosen life had been given , and just enjoy the work presented to him , even if the work is just a disappointing endeavor anyway ."
pcc_eng_13_081.4916_x1301037_149:08-09-10,remotely_funny,remotely,funny,n't_remotely_funny,"just stupid , the jokes were n't remotely funny , which some have pointed out","Not just stupid , the jokes were n't remotely funny , which some have pointed out might be the most pressing worry for fans of a comedy program ."
pcc_eng_25_034.2862_x0538911_12:11-13-14,remotely_funny,remotely,funny,n't_remotely_funny,"out , the label was n't "" remotely funny "" -- if it had ,","However , as Barnett points out , the label was n't "" remotely funny "" -- if it had , she would have laughed ."
pcc_eng_13_088.9619_x1421689_20:19-20-21,remotely_funny,remotely,funny,n't_remotely_funny,"be exclusively about things that are n't remotely funny , so you can read it","So , as a response , the balance of this column will be exclusively about things that are n't remotely funny , so you can read it without worrying that your body temperature will increase even one degree of Kelvin ."
pcc_eng_27_004.7603_x0060341_40:15-16-17,remotely_funny,remotely,funny,n't_remotely_funny,"big softy , and this was n't remotely funny .","Yeah , I know , I 'm a big softy , and this was n't remotely funny ."
pcc_eng_21_069.4617_x1106415_163:48-49-50,remotely_funny,remotely,funny,n't_remotely_funny,though often the song itself is n't remotely funny .,"In Chris Heath 's book Pet Shop Boys , Literally , he briefly quotes Neil ( on page 116 of at least some editions ) about this unreleased song : "" Sometimes the inspiration behind a song is something funny , though often the song itself is n't remotely funny ."
apw_eng_20090130_0104_9:27-30-31,remotely_funny,remotely,funny,n't_remotely_funny,", it still would n't have been remotely funny .","even if it had tried to capitalize on the popularity of `` Fargo '' and come out more than a decade ago , it still would n't have been remotely funny ."
pcc_eng_10_023.7985_x0368260_39:3-5-6,remotely_funny,remotely,funny,n't_remotely_funny,She is n't even remotely funny .,She is n't even remotely funny .
pcc_eng_16_025.2419_x0392368_08:26-28-29,remotely_funny,remotely,funny,n't_remotely_funny,"years ago , but has n't been remotely funny since .","The last comic standing would be that southern guy that hosts the show and was funny in a sitcom several years ago , but has n't been remotely funny since ."
pcc_eng_08_049.8663_x0790906_25:37-39-40,remotely_funny,remotely,funny,never_remotely_funny,flat deep-voiced performance that 's never even remotely funny .,"You may also ponder the degree of nepotism involved with casting Catherine Reitman , the daughter of producer Ivan Retiman , as Ryden 's arch-rival Jessica , as she gives a flat deep-voiced performance that 's never even remotely funny ."
pcc_eng_06_079.8378_x1274832_017:09-13-14,remotely_funny,remotely,funny,none_remotely_funny,"my family , none of whom are remotely funny .","I would like to thank my family , none of whom are remotely funny ."
pcc_eng_21_077.8633_x1242034_08:1-5-6,remotely_funny,remotely,funny,none_remotely_funny,"none of this is remotely funny , despite screenwriter wayne conley 's","None of this is remotely funny , despite screenwriter Wayne Conley 's resorting to virtually every known stereotype"
pcc_eng_14_088.5429_x1415038_07:18-22-23,remotely_funny,remotely,funny,none_remotely_funny,"sloppy writing , none of it is remotely funny on-screen .","Some of this sounds funny in writing , but thanks to witless execution and sloppy writing , none of it is remotely funny on-screen ."
