,category,colloc,adv,adj,sent_text,sent_id,adv_index,json_source,hit_id,status
nyt_eng_19940729_0240_32:11_discard,devel,as_bad,as,bad,"""Mjeanwhile , second-quarter earnings , while disappointing , were not as bad as had been expected , fueling the Bolsa 's slight rebound .""",nyt_eng_19940729_0240_32,11,nyt_eng_199407,nyt_eng_19940729_0240_32:11,discard
nyt_eng_19940729_0240_32:11_keep,devel,as_bad,as,bad,"""Mjeanwhile , second-quarter earnings , while disappointing , were not as bad as had been expected , fueling the Bolsa 's slight rebound .""",nyt_eng_19940729_0240_32,11,nyt_eng_199407,nyt_eng_19940729_0240_32:11,keep
nyt_eng_19940729_0160_19:34_discard,devel,richly_meaty,richly,meaty,"'The Arkansas location is open for lunch -LRB- lighter fare , such as burgers , is served -RRB- , the salads are not quite as tangy , the tamales are not quite as richly meaty and the ambience is nice but not as cozy\\/funky .'",nyt_eng_19940729_0160_19,34,nyt_eng_199407,nyt_eng_19940729_0160_19:34,discard
nyt_eng_19940728_0351_18:15_discard,devel,that_dramatic,that,dramatic,"""He argued  -COL-   -LBQ-  The dramatic changes they 're touting , they 're not that dramatic .""",nyt_eng_19940728_0351_18,15,nyt_eng_199407,nyt_eng_19940728_0351_18:15,discard
nyt_eng_19940728_0351_18:15_keep,devel,that_dramatic,that,dramatic,"""He argued  -COL-   -LBQ-  The dramatic changes they 're touting , they 're not that dramatic .""",nyt_eng_19940728_0351_18,15,nyt_eng_199407,nyt_eng_19940728_0351_18:15,keep
nyt_eng_19940728_0321_1:14_discard,devel,very_good,very,good,"""Imagine a chief executive telling shareholders that the company 's products are n't very good .""",nyt_eng_19940728_0321_1,14,nyt_eng_199407,nyt_eng_19940728_0321_1:14,discard
nyt_eng_19940728_0271_13:18_discard,devel,really_welcome,really,welcome,"'U.S. diplomats in London , responsible for the North , made it clear that she was not really welcome , that she was interfering .'",nyt_eng_19940728_0271_13,18,nyt_eng_199407,nyt_eng_19940728_0271_13:18,discard
nyt_eng_19940728_0271_13:18_keep,devel,really_welcome,really,welcome,"'U.S. diplomats in London , responsible for the North , made it clear that she was not really welcome , that she was interfering .'",nyt_eng_19940728_0271_13,18,nyt_eng_199407,nyt_eng_19940728_0271_13:18,keep
nyt_eng_19940725_0218_3:14_discard,devel,very_pleasant,very,pleasant,"""-LBQ-  It does n't impact our everyday work , but it is not very pleasant .  -RDQ-""",nyt_eng_19940725_0218_3,14,nyt_eng_199407,nyt_eng_19940725_0218_3:14,discard
nyt_eng_19940722_0283_2:18_discard,devel,always_apparent,always,apparent,"""Today , so dominant are MS-DOS and its associated program , Windows , that it 's not always apparent that there are still several viable alternatives .""",nyt_eng_19940722_0283_2,18,nyt_eng_199407,nyt_eng_19940722_0283_2:18,discard
nyt_eng_19940717_0183_7:30_discard,devel,so_easy,so,easy,"""The Missouri Democrat , who has spent 18 of his 53 years in the House , added  -COL-   -LBQ-  It is n't so easy and it ca n't be so easy .""",nyt_eng_19940717_0183_7,30,nyt_eng_199407,nyt_eng_19940717_0183_7:30,discard
nyt_eng_19940717_0175_31:12_discard,devel,necessarily_smart,necessarily,smart,"""-LBQ-  People who want to help you -- it 's not necessarily smart to spit in their face ,  -RDQ-  he said .""",nyt_eng_19940717_0175_31,12,nyt_eng_199407,nyt_eng_19940717_0175_31:12,discard
nyt_eng_19940717_0175_31:12_keep,devel,necessarily_smart,necessarily,smart,"""-LBQ-  People who want to help you -- it 's not necessarily smart to spit in their face ,  -RDQ-  he said .""",nyt_eng_19940717_0175_31,12,nyt_eng_199407,nyt_eng_19940717_0175_31:12,keep
nyt_eng_19940716_0030_38:10_discard,devel,too_bad,too,bad,"""The way I am playing , it 's not too bad for a 44-year-old has-been .  -RDQ-""",nyt_eng_19940716_0030_38,10,nyt_eng_199407,nyt_eng_19940716_0030_38:10,discard
nyt_eng_19940716_0030_38:10_keep,devel,too_bad,too,bad,"""The way I am playing , it 's not too bad for a 44-year-old has-been .  -RDQ-""",nyt_eng_19940716_0030_38,10,nyt_eng_199407,nyt_eng_19940716_0030_38:10,keep
nyt_eng_19940714_0451_1:8_discard,devel,so_complicated,so,complicated,"'-LBQ-  The city , it is not so complicated ,  -RDQ-  said Macsuara .'",nyt_eng_19940714_0451_1,8,nyt_eng_199407,nyt_eng_19940714_0451_1:8,discard
nyt_eng_19940714_0451_1:8_keep,devel,so_complicated,so,complicated,"'-LBQ-  The city , it is not so complicated ,  -RDQ-  said Macsuara .'",nyt_eng_19940714_0451_1,8,nyt_eng_199407,nyt_eng_19940714_0451_1:8,keep
nyt_eng_19940714_0176_21:30_discard,devel,very_welcome,very,welcome,"""He ca n't wait , for example , to get out of that silly desert commune -- whose peace-loving brotherhood of residents make it amply clear he 's not very welcome , anyway .""",nyt_eng_19940714_0176_21,30,nyt_eng_199407,nyt_eng_19940714_0176_21:30,discard
nyt_eng_19940714_0176_21:30_keep,devel,very_welcome,very,welcome,"""He ca n't wait , for example , to get out of that silly desert commune -- whose peace-loving brotherhood of residents make it amply clear he 's not very welcome , anyway .""",nyt_eng_19940714_0176_21,30,nyt_eng_199407,nyt_eng_19940714_0176_21:30,keep
nyt_eng_19940707_0157_49:5_discard,devel,completely_fossilized,completely,fossilized,"'The bones are not completely fossilized , and therefore much of their original phosphate mineral has survived during the 65 million years the animal lay sealed in rock .'",nyt_eng_19940707_0157_49,5,nyt_eng_199407,nyt_eng_19940707_0157_49:5,discard
nyt_eng_19940703_0041_2:21_discard,devel,always_easy,always,easy,"""You ca n't tell one from another , except for the faces that front them , and it is not always easy to tell a television news magazine from a television tabloid .""",nyt_eng_19940703_0041_2,21,nyt_eng_199407,nyt_eng_19940703_0041_2:21,discard
nyt_eng_19940702_0151_1:48_discard,devel,so_stingy,so,stingy,"'On this rolling expanse of tall-grass prairie , where many Shakopee Mdewekantan once barely eked out a living by stripping copper and selling cigarettes , or scraped along on welfare , tribal elders would remind children growing up in rickety trailers that life had not always been so stingy .'",nyt_eng_19940702_0151_1,48,nyt_eng_199407,nyt_eng_19940702_0151_1:48,discard
nyt_eng_19940702_0150_1:5_discard,devel,about_soccer,about,soccer,'This is not just about soccer .',nyt_eng_19940702_0150_1,5,nyt_eng_199407,nyt_eng_19940702_0150_1:5,discard
nyt_eng_19940702_0043_1:5_discard,devel,as_exciting,as,exciting,"""Maybe it was n't as exciting as the World Cup , but if you were watching the White House last week you still needed a scorecard , and even then it was hard to make out just what game was being played .""",nyt_eng_19940702_0043_1,5,nyt_eng_199407,nyt_eng_19940702_0043_1:5,discard
nyt_eng_19940701_0176_1:5_discard,devel,as_lurid,as,lurid,"'It may not be as lurid as the O.J. Simpson saga , but the surprise announcement of a possible $ 2 billion CBS-QVC merger has all the elements of high-finance drama .'",nyt_eng_19940701_0176_1,5,nyt_eng_199407,nyt_eng_19940701_0176_1:5,discard
nyt_eng_19940701_0027_53:12_discard,devel,that_different,that,different,"'In most of the ways that matter , he is not that different from many other top-level Wells Fargo employees .'",nyt_eng_19940701_0027_53,12,nyt_eng_199407,nyt_eng_19940701_0027_53:12,discard
nyt_eng_19940701_0027_53:12_keep,devel,that_different,that,different,"'In most of the ways that matter , he is not that different from many other top-level Wells Fargo employees .'",nyt_eng_19940701_0027_53,12,nyt_eng_199407,nyt_eng_19940701_0027_53:12,keep
