hit_id,context_group,colloc,adv,adj,sent_text,sent_id,adv_index,json_source,prev_sent,next_sent,corpus_segment,corpus,date,polarity,context,context_word,context_type,in_basic,line_in_source,year,context_overlap
nyt_eng_20060923_0098_4:8,neg-ext-nonsubj,immediately_clear,immediately,clear,The source of the blast was not immediately clear .,nyt_eng_20060923_0098_4,8,nyt_eng_200609,"Two dozen of the dead were women or girls , as were 26 of the 36 wounded .","Some reports quoted the police as saying that the bomb was hidden in a barrel , or in a car parked near the tanker truck .",nyt_eng_20060923,Nyt2,2006-09-23,negative,not_VP-adv,not,VP-adv,False,28838,2006,False
apw_eng_20050105_0150_5:4,neg-ext-nonsubj,immediately_clear,immediately,clear,It was not immediately clear if the Navy had changed the way it delivered aid .,apw_eng_20050105_0150_5,4,apw_eng_200501,"The U.S. Navy was investigating and cooperating with local officials , said its spokesman Lt. Billy Ray Davis .",The helicopter was delivering aid as part of a massive U.S. military relief operation underway in tsunami and quake-hit regions of Indonesia .,apw_eng_20050105,Apw,2005-01-05,negative,not_VP-adv,not,VP-adv,False,15958,2005,False
apw_eng_19970323_0506_3:4,neg-ext-nonsubj,immediately_clear,immediately,clear,"It was not immediately clear if King Hussein , who is visiting the United States , will be home on time for the April 5 event .",apw_eng_19970323_0506_3,4,apw_eng_199703,"-LBQ-  The rally is meant to underline Arab sovereignty on east Jerusalem and ways to support our quest for regaining the city ,  -RDQ-  said Omar Khatib , a representative of Arafat 's self-rule authority here .","Abdul-Majid Shoman , an organizer , said Coptic Pope Shnuda , Mohammed Sayed Tantawi , one of Egypt 's leading Muslim clerics , Arab League Secretary General Esmat Abdel-Meguid and other prominent figures were invited .",apw_eng_19970323,Apw,1997-03-23,negative,not_VP-adv,not,VP-adv,False,11289,1997,False
apw_eng_20100325_0672_6:4,neg-ext-nonsubj,immediately_clear,immediately,clear,It was not immediately clear how much weight al-Bolani 's demand carried .,apw_eng_20100325_0672_6,4,apw_eng_201003,He said a postponement would preserve security and ensure a peaceful transition of power .,"A Shiite official who enjoys popularity among the police force he oversees , al-Bolani took part in the elections but his party got few votes .",apw_eng_20100325,Apw,2010-03-25,negative,not_VP-adv,not,VP-adv,False,16027,2010,False
apw_eng_19950130_0260_3:4,neg-ext-nonsubj,immediately_clear,immediately,clear,It was not immediately clear whether the fifth victim was a passenger or had been killed on the ground .,apw_eng_19950130_0260_3,4,apw_eng_199501,"About 100 police were sent to the crash scene , about 25 kilometers -LRB- 16 miles -RRB- south of Taipei , after residents in the area heard explosions and saw flames .","Officials initially said no passengers were aboard the ATR72 plane , which crashed at about 7 -COL- 43 p.m. -LRB- 1143 GMT -RRB- while enroute to Taipei from the offshore Penghu islands .",apw_eng_19950130,Apw,1995-01-30,negative,not_VP-adv,not,VP-adv,False,23615,1995,False
apw_eng_20070507_0046_24:4,neg-ext-nonsubj,immediately_clear,immediately,clear,It was not immediately clear when the amendments would come to the floor .,apw_eng_20070507_0046_24,4,apw_eng_200705,"Other proposed amendments include reducing the presidential term from the current seven years to five , allowing the president to stand for re-election for a second term , and holding general elections every four years instead of five .",Gul did not say Sunday if he intended to run if the vote goes to the people .,apw_eng_20070507,Apw,2007-05-07,negative,not_VP-adv,not,VP-adv,False,75390,2007,False
apw_eng_20030205_0314_9:4,neg-ext-nonsubj,immediately_clear,immediately,clear,It was not immediately clear when Babich would be formally replaced .,apw_eng_20030205_0314_9,4,apw_eng_200302,"Kadyrov angrily defended the move , and he curtly told reporters Wednesday that the matter  -LBQ-  was resolved .  -RDQ-",Babich 's secretary told Russia 's TVS television that Babich was still officially on vacation .,apw_eng_20030205,Apw,2003-02-05,negative,not_VP-adv,not,VP-adv,False,72654,2003,False
apw_eng_20010909_0274_2:11,neg-ext-nonsubj,immediately_clear,immediately,clear,Editor-in-chief Ali Mir-Fattah told The Associated Press it was not immediately clear why Mehr the magazine was closed .,apw_eng_20010909_0274_2,11,apw_eng_200109,"A hard-line court ordered the temporary closure of a weekly Iranian culture magazine Sunday , its editor said .","Mehr publishes cultural and art articles and is headed by Mohammad Ali Zam , a pro-reform cleric .",apw_eng_20010909,Apw,2001-09-09,negative,not_VP-adv,not,VP-adv,False,62098,2001,False
apw_eng_19990624_1448_18:4,neg-ext-nonsubj,immediately_clear,immediately,clear,It was not immediately clear whether there were casualties .,apw_eng_19990624_1448_18,4,apw_eng_199906,"Flames could be seen for a distance from the Bsalim station , also above Beirut , plunging more neighborhoods into darkness .","Israeli warplanes could be heard rumbling over Beirut , drawing heavy anti-aircraft fire from the ground that lit up the night sky .",apw_eng_19990624,Apw,1999-06-24,negative,not_VP-adv,not,VP-adv,False,27015,1999,False
nyt_eng_19980325_0500_4:4,neg-ext-nonsubj,immediately_clear,immediately,clear,"It was not immediately clear what Starr hoped to learn from the store , Kramerbooks and Afterwords , since his offices in Washington and Little Rock , Ark. , did not return calls seeking comment .",nyt_eng_19980325_0500_4,4,nyt_eng_199803,"To search for that many records would have been a  -LBQ-  crippling  -RDQ-  burden for the small independent store , so the bookstore negotiated with the prosecutor , Kenneth Starr , and agreed to a narrower demand for documents , the store 's lawyer said Wednesday .","In any event , the latest move in his long-running investigation infuriated Ms. Lewinsky 's lawyer and brought expressions of alarm and dismay from civil-liberties groups .",nyt_eng_19980325,Nyt1,1998-03-25,negative,not_VP-adv,not,VP-adv,True,33375,1998,False
apw_eng_20031013_0304_16:4,neg-ext-nonsubj,immediately_clear,immediately,clear,It was n't immediately clear whether Monday 's announcement of concessions would bring the dissenters on board .,apw_eng_20031013_0304_16,4,apw_eng_200310,"The conservative opposition voted in favor of those proposals , but is expected to oppose the government on Friday .",-LRB- gm-swg -RRB-,apw_eng_20031013,Apw,2003-10-13,negative,not_VP-adv,not,VP-adv,False,14173,2003,False
nyt_eng_19960112_0249_76:15,neg-ext-nonsubj,immediately_clear,immediately,clear,"a new pitch for a seven-year balanced-budget agreement yesterday , but it was n't immediately clear if his words will advance budget negotiations between the White House and congressional Republicans .",nyt_eng_19960112_0249_76,15,nyt_eng_199601,BUDGET-NEGOTIATIONS -LRB- Washington -RRB- -- President Bill Clinton made,By Christine Walton and Dina Temple-Raston .,nyt_eng_19960112,Nyt1,1996-01-12,negative,not_VP-adv,not,VP-adv,False,48572,1996,False
apw_eng_20040822_0189_5:4,neg-ext-nonsubj,immediately_clear,immediately,clear,"It was n't immediately clear who had put it up , but a group of emigrants from Lovinac living in Canada and Australia had recently said they were considering raising such a monument .",apw_eng_20040822_0189_5,4,apw_eng_200408,Croatian state television showed pictures of the black marble plaque engraved with Budak 's name and profile .,"Prime Minister Ivo Sanader 's party urged local officials to remove the plaque , saying  -LBQ-  it damages the region , Croatia and its national interests .  -RDQ-",apw_eng_20040822,Apw,2004-08-22,negative,not_VP-adv,not,VP-adv,False,46890,2004,False
apw_eng_20010729_0463_6:14,neg-ext-nonsubj,immediately_clear,immediately,clear,"The latest release could not be independently verified , and it was not immediately clear where the hostages were Sunday .",apw_eng_20010729_0463_6,14,apw_eng_200107,One Swede and seven Thai nationals were released in June .,"Earlier this month , the Mayi-Mayi asked Thailand 's ambassador to Kenya to include Lumumba in negotiations for the hostages ' release .",apw_eng_20010729,Apw,2001-07-29,negative,not_VP-adv,not,VP-adv,False,68584,2001,False
nyt_eng_20090623_0100_7:4,neg-ext-nonsubj,immediately_clear,immediately,clear,It was not immediately clear what role the Russian government played in the new agreement between the Kyrgyz and American governments .,nyt_eng_20090623_0100_7,4,nyt_eng_200906,Russia pledged a $ 2 billion loan to Kyrgyzstan on the day in February that the Kyrgyz president announced that the United States would be evicted from the base .,The Kyrgyz and American governments both said the new arrangement would put limitations on the base .,nyt_eng_20090623,Nyt2,2009-06-23,negative,not_VP-adv,not,VP-adv,False,64976,2009,False
apw_eng_20031102_0046_7:4,neg-ext-nonsubj,immediately_clear,immediately,clear,It was not immediately clear whether any foreigners were on the bus .,apw_eng_20031102_0046_7,4,apw_eng_200311,"Police said most of the passengers were tourists from the western Indian state of Gujarat , heading to Mahabaleshwar for the weekend .",Buses are the main means of transportation in much of India .,apw_eng_20031102,Apw,2003-11-02,negative,not_VP-adv,not,VP-adv,False,37373,2003,False
apw_eng_20070501_0184_6:13,neg-ext-nonsubj,immediately_clear,immediately,clear,The spokeswoman declined to offer any other details and it was not immediately clear what part of the ruling prosecutors were appealing .,apw_eng_20070501_0184_6,13,apw_eng_200705,"Prosecutors filed their appeal of Tokyo District Court ruling last Friday , a court spokeswoman said Tuesday on condition of anonymity , citing court policy .",The Tokyo District Prosecutors ' office refused to comment .,apw_eng_20070501,Apw,2007-05-01,negative,not_VP-adv,not,VP-adv,False,75506,2007,False
apw_eng_20070129_0035_3:4,neg-ext-nonsubj,immediately_clear,immediately,clear,It was not immediately clear whether the victims were civilians .,apw_eng_20070129_0035_3,4,apw_eng_200701,The battle started after gunmen attacked police in northern Mogadishu .,"-LBQ-  The gunmen ran away after reinforcements arrived to help the police ,  -RDQ-  said Ifah Ahmed Ali , who witnessed Sunday 's attack in northern Mogadishu .",apw_eng_20070129,Apw,2007-01-29,negative,not_VP-adv,not,VP-adv,False,60859,2007,False
