adv,adj,sent_id,adv_index,sent_text
particularly,fond,nyt_eng_19991206_0151_38,4,"I 'm not particularly fond of music in the O.R. , but if there is music , I prefer it to be classical _ especially the symphonies of Beethoven and Brahms _ and reasonably sedate ."
quite,true,nyt_eng_19991206_0151_24,6,"Actually , that 's not quite true ."
about,lessoning,nyt_eng_19991206_0145_49,5,The theater is not about lessoning .
as,severe,nyt_eng_19991206_0110_6,65,"McGorry , who is the co-author of  -LBQ-  The Recognition and Management of Early Psychosis  -RDQ-  -LRB- Cambridge University Press , 1999 -RRB- , said his study had aroused little controversy in Australia , perhaps because that country has a more developed community network for treating mental illness in adolescents , and because the social consequences of a diagnosis of mental disorder are not as severe there ."
as,effective,nyt_eng_19991206_0086_15,6,"The pendulum approach is not as effective as the data-based technique , but the latter is poor at ignoring flapping clothing , such as skirts , when analyzing a gait ."
that,discerning,nyt_eng_19991206_0052_10,11,"A. Well , maybe your Schnauzer 's schnoz is n't that discerning , but Dr. Larry Myers , of the Veterinary School at Auburn University , says dogs are at the top of the animal kingdom -LRB- along with rats -RRB- when it comes to their ability to smell ."
really,interested,nyt_eng_19991206_0047_26,5,But Stern is n't really interested in rants .
quite,true,nyt_eng_19991206_0046_35,4,This was n't quite true ; Edison died a millionaire .
as,far-reaching,nyt_eng_19991206_0045_12,6,The proposed standard is not as far-reaching as it could have been .
so,bad,nyt_eng_19991206_0026_46,12,"Janis has her points , too  -COL-   -LBQ-  Acting is n't so bad as long as you always know the difference , and can drop the act or mask at will .  -RDQ-"
too,high,nyt_eng_19991201_0104_8,14,"Jake Winebaum , a co-founder of Ecompanies , said the price was not too high for a brand name , given that Web-based companies are spending more than $ 1 million for a 30-second commercial during the Super Bowl to make their names known ."
so,insignificant,nyt_eng_19991201_0088_7,7,"But the question may not be so insignificant to investors in the Web sites , which include Launch Media , NetRadio , SonicNet -LRB- owned by Viacom 's MTV -RRB- and Spinner.com -LRB- owned by America Online -RRB- ."
completely,ready,nyt_eng_19991201_0087_35,7,"them report they are not yet completely ready ,  -RDQ-  said Edward Yardeni , the Deutsche Bank economist who has predicted that year 2000 computer disruptions are likely to lead to a worldwide recession next year ."
so,easy,nyt_eng_19991201_0085_5,26,"Right now I 'm at the hotel bar , nursing a glass of the local wine and trying to make friends , which is not so easy where there 's hardly any English spoken ."
readily,apparent,nyt_eng_19991201_0032_1,35,"Remember , however , that Yeoman 's qualities _ burnished first on Earl Blaik 's Army staff that also included Vince Lombardi , then honed by Duffy Daugherty at Michigan State _ were not readily apparent in wins and losses after Yeoman 's arrival at UH ."
altogether,unexpected,nyt_eng_19991201_0011_4,11,"Despite two years of planning , the glitches are not altogether unexpected ."
so,sure,nyt_eng_19991201_0007_23,4,Napolitano was not so sure .
as,bad,nyt_eng_19940729_0240_32,11,"Mjeanwhile , second-quarter earnings , while disappointing , were not as bad as had been expected , fueling the Bolsa 's slight rebound ."
that,successful,nyt_eng_19940729_0236_43,8,"-LBQ-  Voluntary programs have simply not been that successful ,  -RDQ-  she said ."
really,unusual,nyt_eng_19940729_0229_16,5,"The concept is not really unusual , said Russell Frey , a veterinarian , animal nutrition specialist and professor at Kansas State University 's School of Veterinary Medicine ."
as,sweet,nyt_eng_19940729_0196_25,16,"-LBQ-  Nowadays I can buy ice cream by the gallon , but it is n't as sweet as the memory of those cold chips of ice on those hot summer days of my childhood ."
yet,worthy,nyt_eng_19940729_0178_7,12,"Unfortunately , the baseball poohbahs have deemed that we 're not yet worthy of such exalted status , so we 'll have to wait . -RRB-"
as,strong,nyt_eng_19940729_0161_30,6,"-LBQ-  The caucus is n't as strong as it will be after the redistricting lawsuits are settled positively  -RDQ-  and the new members do n't have to expend energy fighting them , said Rep. Cynthia McKinney , D-Ga . , whose district is being challenged ."
as,tangy,nyt_eng_19940729_0160_19,25,"The Arkansas location is open for lunch -LRB- lighter fare , such as burgers , is served -RRB- , the salads are not quite as tangy , the tamales are not quite as richly meaty and the ambience is nice but not as cozy\/funky ."
richly,meaty,nyt_eng_19940729_0160_19,34,"The Arkansas location is open for lunch -LRB- lighter fare , such as burgers , is served -RRB- , the salads are not quite as tangy , the tamales are not quite as richly meaty and the ambience is nice but not as cozy\/funky ."
as,shy,nyt_eng_19940729_0159_33,19,"He knows as much as or more than Signa , it seems , and he 's not quite as shy ."
