hit_id,few,never,no,none,not,nothing,SUM
apw_eng_20010602_0234_1:12-13-14,0,0,0,0,1,0,1
apw_eng_20010609_0285_23:12-13-14,0,0,0,0,1,0,1
apw_eng_20010614_0420_19:3-4-5,0,0,0,0,1,0,1
apw_eng_20010616_0013_13:7-8-9,0,0,0,0,1,0,1
apw_eng_20010628_1604_15:4-5-6,0,0,0,0,1,0,1
nyt_eng_19960504_0071_16:33-34-35,0,0,0,0,1,0,1
nyt_eng_19960506_0122_14:4-6-7,0,1,0,0,0,0,1
nyt_eng_19960506_0773_17:7-8-9,0,0,0,0,1,0,1
nyt_eng_19960506_0773_18:3-4-5,0,0,0,0,1,0,1
nyt_eng_19960508_0310_59:1-6-7,0,0,0,1,0,0,1
nyt_eng_19960508_0501_7:30-31-32,0,0,0,0,1,0,1
nyt_eng_19960511_0508_4:3-4-5,0,0,0,0,1,0,1
nyt_eng_19960513_0064_4:14-15-18-19,1,0,0,0,0,0,1
nyt_eng_19960513_0064_4:7-8-9,0,0,0,0,1,0,1
nyt_eng_19960515_0101_19:4-5-6,0,0,0,0,1,0,1
nyt_eng_19960515_0268_28:4-5-6,0,0,0,0,1,0,1
nyt_eng_19960515_0521_23:18-19-20,0,0,0,0,1,0,1
nyt_eng_19960521_0276_26:08-09-10,0,0,0,0,1,0,1
nyt_eng_19960522_0120_19:14-21-22-23,0,0,0,0,0,1,1
nyt_eng_19960526_0027_22:3-4-5,0,0,0,0,1,0,1
nyt_eng_20050406_0148_1:27-28-29,0,0,0,0,1,0,1
nyt_eng_20050412_0296_12:11-12-13,0,0,0,0,1,0,1
nyt_eng_20050413_0042_12:09-11-12,0,0,0,0,1,0,1
nyt_eng_20050418_0026_32:08-09-10,0,0,0,0,1,0,1
nyt_eng_20050419_0022_25:47-48-49,0,0,0,0,1,0,1
nyt_eng_20050420_0176_11:20-21-22,0,0,0,0,1,0,1
nyt_eng_20050421_0060_29:3-4-5,0,0,0,0,1,0,1
nyt_eng_20050425_0034_1:3-4-5,0,0,0,0,1,0,1
nyt_eng_20050425_0091_10:24-25-26,0,0,0,0,1,0,1
nyt_eng_20050425_0098_41:3-4-5,0,0,0,0,1,0,1
nyt_eng_20050427_0144_6:4-5-6,0,0,0,0,1,0,1
nyt_eng_20050428_0097_233:22-23-24,0,0,0,0,1,0,1
nyt_eng_20050429_0169_23:1-2-4-5,0,0,1,0,0,0,1
nyt_eng_20050430_0069_39:3-4-5,0,0,0,0,1,0,1
pcc_eng_02_002.0449_x0016906_3:16-17-18,0,0,0,0,1,0,1
pcc_eng_02_002.0716_x0017333_018:3-4-5,0,0,0,0,1,0,1
pcc_eng_02_002.2391_x0020034_09:25-26-27,0,0,0,0,1,0,1
pcc_eng_02_002.3360_x0021609_007:25-26-27,0,0,0,0,1,0,1
pcc_eng_02_002.3652_x0022086_04:13-14-15,0,0,0,0,1,0,1
pcc_eng_02_002.3765_x0022291_05:12-13-14,0,0,0,0,1,0,1
pcc_eng_02_002.4430_x0023370_37:08-09-10,0,0,0,0,1,0,1
pcc_eng_02_002.5336_x0024817_16:3-4-5,0,0,0,0,1,0,1
pcc_eng_02_002.7501_x0028305_09:4-5-6,0,0,0,0,1,0,1
pcc_eng_02_002.9137_x0030933_37:20-22-23,0,0,0,0,1,0,1
pcc_eng_27_070.0055_x1115700_024:7-8-9,0,0,0,0,1,0,1
pcc_eng_27_070.0202_x1115929_106:11-12-13,0,0,0,0,1,0,1
pcc_eng_27_070.0315_x1116118_16:2-3-4,0,0,0,0,1,0,1
pcc_eng_27_070.0367_x1116208_04:1-2-3,0,0,0,0,1,0,1
pcc_eng_27_070.0776_x1116894_04:23-24-25,0,0,0,0,1,0,1
pcc_eng_27_070.1123_x1117444_06:17-18-19,0,0,0,0,1,0,1
pcc_eng_27_070.1968_x1118821_6:09-10-11,0,0,0,0,1,0,1
pcc_eng_27_070.2970_x1120419_20:13-14-15,0,0,0,0,1,0,1
pcc_eng_27_070.4888_x1123515_213:24-25-26,0,0,0,0,1,0,1
pcc_eng_27_070.6674_x1126483_064:15-16-17,0,0,0,0,1,0,1
