hit_id,category,colloc,adv,adj,sent_text,sent_id,adv_index,json_source,prev_sent,next_sent,label,status
nyt_eng_19950420_0210_25:23,neg-ext-subj,expressively_hot,expressively,hot,None of the 170-plus smallish images in  -LBQ-  An Egyptian Bestiary  -COL-  Animals in Egyptian Art  -RDQ-  at the Metropolitan are as expressively hot as this one .,nyt_eng_19950420_0210_25,23,nyt_eng_199504,"Others , by contrast , are composite beings with no zoological equivalents , like the fabulous Senufo helmet mask from the Ivory Coast , bristling with animal tusks and positively radiant in its ugliness .","Rather , the show , organized by Dorothea Arnold -LRB- who also wrote the spring Museum Bulletin , which serves as its catalogue -RRB- , is notable for its cool combination of smooth , unruffled naturalism and suave stylization .",nyt_eng_19950420_0210_25:23_discard,discard
nyt_eng_19950609_0384_47:17,neg-ext-subj,as_funny,as,funny,"All life is falsified to clear the way for jokes , none of which is half as funny as the often ingeniously amusing ways in which assorted villains are killed .",nyt_eng_19950609_0384_47,17,nyt_eng_199506,Everything is mindless fluff .,"The fake violence takes me back to Moe , Larry and Curley , whose physical brutality to each other in ancient  -LBQ-  Three Stooges  -RDQ-  shorts once seemed joyfully funny to me .",nyt_eng_19950609_0384_47:17_discard,discard
nyt_eng_19971108_0050_14:44,neg-ext-subj,especially_partisan,especially,partisan,"Beyond their popularity , what is striking about these mayors is that they represent different parties , come from different regions and preside over cities with different problems _ yet they are remarkably similar  -COL-  in a highly partisan era , none is especially partisan , and some are disliked by their own party establishments _ which could be hazardous to bigger political ambitions .",nyt_eng_19971108_0050_14,44,nyt_eng_199711,Most won in landslides .,"-LBQ-  You probably would n't be able to distinguish who 's a Democrat and who 's a Republican _ we 're all managing in very much the same way ,  -RDQ-  said Pittsburgh Mayor Tom Murphy , who was re-elected Tuesday with 77 percent of the vote .",nyt_eng_19971108_0050_14:44_discard,discard
nyt_eng_19991107_0170_19:19,neg-ext-subj,commercially_available,commercially,available,"However , while most manufacturers were featuring prototype WAP phones at their Telecom99 booths , almost none are commercially available to date -- prompting some to joke that WAP means  -LBQ-  Where Are the Phones ?  -RDQ-",nyt_eng_19991107_0170_19,19,nyt_eng_199911,"Telia has created a similar service with Oracle dubbed myDOF , where DOF stands for  -LBQ-  Department of Future .  -RDQ-",Configuring the phone requires a tedious and long process of inputting setup information .,nyt_eng_19991107_0170_19:19_discard,discard
nyt_eng_19980805_0201_39:4,neg-ext-subj,as_frightening,as,frightening,But none are as frightening to medical experts as the VISA strains of staph .,nyt_eng_19980805_0201_39,4,nyt_eng_199808,"The list of dangerously virulent drug-resistant microbes is growing all the time  -COL-  streptococcus pneumoniae , which causes pneumonia , childhood ear infections and meningitis ; mycobacterium tuberculosis , which causes TB , and neisseria gonorrhoeae , which causes gonorrhea .","Within the past 18 months , the CDC has documented the first four cases ever , the most recent being that of the New York detective .",nyt_eng_19980805_0201_39:4_discard,discard
nyt_eng_19940726_0150_20:8,neg-ext-subj,as_consistent,as,consistent,But none of the Princes was ever as consistent as his Aurora .,nyt_eng_19940726_0150_20,8,nyt_eng_199407,The male soloists were excellent in this act .,"Despite individual qualities , Zoltan Solymosi , Irek Mukhamedov and Jonathan Cope as well as Jose Manuel Carreno and Stuart Cassidy -LRB- I missed Bruce Sansom -RRB- all ran out of stamina or technique .",nyt_eng_19940726_0150_20:8_discard,discard
nyt_eng_19940717_0141_6:14,neg-ext-subj,directly_visible,directly,visible,"Even though none of the 21 expected impacts of the fragmented comet are directly visible from Earth , their aftereffects become visible as Jupiter rotates and each impact point swings around to face Earth .",nyt_eng_19940717_0141_6,14,nyt_eng_199407,Observatories and even amateur astronomers in many parts of the world have been treated to a low-key but scientifically spectacular show since Fragment A of Comet Shoemaker-Levy 9 hurtled into Jupiter late Saturday .,"The bombardment will last until Friday and is expected to furnish scientists with a gold mine of information about the inner structure of Jupiter , the composition of comets and the dynamics of planetary impacts .",nyt_eng_19940717_0141_6:14_discard,discard
nyt_eng_19991214_0181_8:17,neg-ext-subj,very_efficient,very,efficient,"The seven nutcrackers I tried were wildly different in appearance , and none of them were very efficient .",nyt_eng_19991214_0181_8,17,nyt_eng_199912,-LRB- With most squirrel or soldier nutcrackers you may never get a nut open _ it always slips out of the mouth . -RRB-,"By design , they crack only one nut at a time , and most nuts will still require a little peeling by hand .",nyt_eng_19991214_0181_8:17_discard,discard
nyt_eng_19950131_0137_8:4,neg-ext-subj,as_illuminating,as,illuminating,"None though is as illuminating as the wretched saga of the Enola Gay , the B-29 bomber which dropped the atomic bomb on Hiroshima .",nyt_eng_19950131_0137_8,4,nyt_eng_199501,"Consider Germany and the D-Day celebrations , the argument between Poland and international Jewry over the meaning of Auschwitz , the claims by former British prisoners of war in the Far East for compensation from the Japanese .","Quite naturally the Smithsonian Air and Space Museum decided to stage a special exhibit later this year to mark the 50th anniversary of an event which , for better or worse , is a watershed of human history .",nyt_eng_19950131_0137_8:4_discard,discard
nyt_eng_19950131_0131_8:4,neg-ext-subj,as_illuminating,as,illuminating,"None though is as illuminating as the wretched saga of the Enola Gay , the B-29 bomber which dropped the atomic bomb on Hiroshima .",nyt_eng_19950131_0131_8,4,nyt_eng_199501,"Consider Germany and the D-Day celebrations , the argument between Poland and international Jewry over the meaning of Auschwitz , the claims by former British prisoners of war in the Far East for compensation from the Japanese .","Quite naturally the Smithsonian Air and Space Museum decided to stage a special exhibit later this year to mark the 50th anniversary of an event which , for better or worse , is a watershed of human history .",nyt_eng_19950131_0131_8:4_discard,discard
