sentences,pos,scale_type
He was not extremely_m happy_p. He was kinda_m sad_p.,adj,rel
He was not extremely_m happy_p. He was sorta_m sad_p.,adj,rel
He was not extremely_m happy_p. He was extremely_m sad_p.,adj,rel
He was not extremely_m happy_p. He was ridiculously_m sad_p.,adj,rel
He was not extremely_m happy_p. He was sad_p.,adj,rel
He was not ridiculously_m happy_p. He was kinda_m sad_p.,adj,rel
He was not ridiculously_m happy_p. He was sorta_m sad_p.,adj,rel
He was not ridiculously_m happy_p. He was extremely_m sad_p.,adj,rel
He was not ridiculously_m happy_p. He was ridiculously_m sad_p.,adj,rel
He was not ridiculously_m happy_p. He was sad_p.,adj,rel
He was not happy_p. He was kinda_m sad_p.,adj,rel
He was not happy_p. He was sorta_m sad_p.,adj,rel
He was not happy_p. He was extremely_m sad_p.,adj,rel
He was not happy_p. He was ridiculously_m sad_p.,adj,rel
He was not happy_p. He was sad_p.,adj,rel
He was n't extremely_m happy_p. He was kinda_m sad_p.,adj,rel
He was n't extremely_m happy_p. He was sorta_m sad_p.,adj,rel
He was n't extremely_m happy_p. He was extremely_m sad_p.,adj,rel
He was n't extremely_m happy_p. He was ridiculously_m sad_p.,adj,rel
He was n't extremely_m happy_p. He was sad_p.,adj,rel
He was n't ridiculously_m happy_p. He was kinda_m sad_p.,adj,rel
He was n't ridiculously_m happy_p. He was sorta_m sad_p.,adj,rel
He was n't ridiculously_m happy_p. He was extremely_m sad_p.,adj,rel
He was n't ridiculously_m happy_p. He was ridiculously_m sad_p.,adj,rel
He was n't ridiculously_m happy_p. He was sad_p.,adj,rel
He was n't happy_p. He was kinda_m sad_p.,adj,rel
He was n't happy_p. He was sorta_m sad_p.,adj,rel
He was n't happy_p. He was extremely_m sad_p.,adj,rel
He was n't happy_p. He was ridiculously_m sad_p.,adj,rel
He was n't happy_p. He was sad_p.,adj,rel
He was kinda_m sad_p. He was not extremely_m happy_p.,adj,rel
He was kinda_m sad_p. He was not ridiculously_m happy_p.,adj,rel
He was kinda_m sad_p. He was not happy_p.,adj,rel
He was kinda_m sad_p. He was n't extremely_m happy_p.,adj,rel
He was kinda_m sad_p. He was n't ridiculously_m happy_p.,adj,rel
He was kinda_m sad_p. He was n't happy_p.,adj,rel
He was sorta_m sad_p. He was not extremely_m happy_p.,adj,rel
He was sorta_m sad_p. He was not ridiculously_m happy_p.,adj,rel
He was sorta_m sad_p. He was not happy_p.,adj,rel
He was sorta_m sad_p. He was n't extremely_m happy_p.,adj,rel
He was sorta_m sad_p. He was n't ridiculously_m happy_p.,adj,rel
He was sorta_m sad_p. He was n't happy_p.,adj,rel
He was extremely_m sad_p. He was not extremely_m happy_p.,adj,rel
He was extremely_m sad_p. He was not ridiculously_m happy_p.,adj,rel
He was extremely_m sad_p. He was not happy_p.,adj,rel
He was extremely_m sad_p. He was n't extremely_m happy_p.,adj,rel
He was extremely_m sad_p. He was n't ridiculously_m happy_p.,adj,rel
He was extremely_m sad_p. He was n't happy_p.,adj,rel
He was ridiculously_m sad_p. He was not extremely_m happy_p.,adj,rel
He was ridiculously_m sad_p. He was not ridiculously_m happy_p.,adj,rel
He was ridiculously_m sad_p. He was not happy_p.,adj,rel
He was ridiculously_m sad_p. He was n't extremely_m happy_p.,adj,rel
He was ridiculously_m sad_p. He was n't ridiculously_m happy_p.,adj,rel
He was ridiculously_m sad_p. He was n't happy_p.,adj,rel
He was sad_p. He was not extremely_m happy_p.,adj,rel
He was sad_p. He was not ridiculously_m happy_p.,adj,rel
He was sad_p. He was not happy_p.,adj,rel
He was sad_p. He was n't extremely_m happy_p.,adj,rel
He was sad_p. He was n't ridiculously_m happy_p.,adj,rel
