hit_id,category,colloc,adv,adj,sent_text,sent_id,adv_index,json_source,prev_sent,next_sent
nyt_eng_20060726_0050_36:3,unknown-polarity,so_talented,so,talented,"Everyone 's so talented that if everyone just backs each other up , we 'd go a lot further .",nyt_eng_20060726_0050_36,3,nyt_eng_200607,That 's what sucks to see .,"That 's what Seattle dancers learn , way before they come here .  -RDQ-"
nyt_eng_20060726_0050_34:6,unknown-polarity,so_big-headed,so,big-headed,"It 's because everyone 's so big-headed here , and everyone thinks they 're above everyone else .",nyt_eng_20060726_0050_34,6,nyt_eng_200607,-LBQ-  That 's where I think L.A. goes wrong .,That 's what sucks to see .
nyt_eng_20060723_0119_20:3,unknown-polarity,pretty_much,pretty,much,Everyone is pretty much on the same page about how to go .  -RDQ-,nyt_eng_20060723_0119_20,3,nyt_eng_200607,"When you say that Hezbollah is the problem , no one argues .","The call for international involvement is  -LBQ-  a big change ,  -RDQ-  said Yossi Alpher , former director of the Jaffee Center for Strategic Studies and co-editor of bitterlemons.org , an Israeli-Palestinian dialogue ."
nyt_eng_20060720_0070_22:3,unknown-polarity,too_credulous,too,credulous,Everyone 's too credulous .,nyt_eng_20060720_0070_22,3,nyt_eng_200607,"Much as I hate to side with Colossus , they were right  -COL-  The screenplay sags with peculiar people saying peculiar things in long , peculiar exposition that never takes flight as narrative .",There 's no genuine human conflict .
nyt_eng_20060717_0252_3:6,unknown-polarity,very_concerned,very,concerned,"-LBQ-  Everyone is terrified , very concerned ,  -RDQ-  said Sonya Pastor LaSota , 33 , a community leader in Arcadia West , a neighborhood of spacious older homes and manicured yards that lies in the heart of the area stalked by the killers , who are blamed for 11 slayings and who the police believe are acting independently .",nyt_eng_20060717_0252_3,6,nyt_eng_200607,"After the most recent crimes -- a pair of shootings on July 8 attributed to one of the killers -- the police increased a reward to $ 100,000 , an Arizona record , for information leading to the arrest of the two , whom they call the Serial Shooter and the Baseline Killer .","Last Thursday 1,500 residents of all ages , races and incomes filled the auditorium , the lobby , the cafeteria and an outdoor courtyard of an elementary school in central Phoenix to learn what they could of the danger ."
nyt_eng_20060717_0008_58:4,unknown-polarity,too_busy,too,busy,Maybe everyone was too busy protecting the folks at the popcorn factory .,nyt_eng_20060717_0008_58,4,nyt_eng_200607,"Unfortunately , the post has gone unfilled since it was announced a year ago .",Maybe the White House should have its new director for lessons learned -- a job that did manage to get filled -- look into this .
nyt_eng_20060713_0262_32:4,unknown-polarity,extremely_frustrated,extremely,frustrated,-LBQ-  Everyone was extremely frustrated .  -RDQ-,nyt_eng_20060713_0262_32,4,nyt_eng_200607,"-LBQ-  We were becoming a prisoner ,  -RDQ-  said jury candidate Tim Bucher .",Others were relieved to get excused .
nyt_eng_20060709_0024_9:25,unknown-polarity,as_easy,as,easy,Upshaw wisely brought Kessler out of mothballs at last year 's Super Bowl to remind the owners that not everyone in the union is as easy to get along with or as ready to make a reasonable deal as he is .,nyt_eng_20060709_0024_9,25,nyt_eng_200607,"To do that , Upshaw knows , the union will need both a heavy war chest in the event of a work stoppage or lockout and the high-profile services of snarling antitrust attorney Jeffrey Kessler .",Kessler would like nothing better than to get the union back into an antitrust case against the league because he believes the law and history are on the players ' side on issues such as the draft and the encumbered form of free agency that now exists .
nyt_eng_20060708_0187_22:9,unknown-polarity,yet_comfortable,yet,comfortable,That does not mean everyone in America is yet comfortable with interracial marriage ; it means the law affords them no remedy for their discomfort .,nyt_eng_20060708_0187_22,9,nyt_eng_200607,The social disintegration predicted by many when laws against interracial marriage began to collapse across this country did not materialize either .,The four Roman Catholic bishops of Massachusetts claim that those who allow the Goodridge decision to stand suffer from  -LBQ-  an exaggerated sense of entitlement .  -RDQ-
nyt_eng_20060707_0192_14:25,unknown-polarity,always_wrong,always,wrong,I can assure you that T.O. is far less complicated and with an easy-to-figure-out plot  -COL-  Owens is always right ; everyone else is always wrong .,nyt_eng_20060707_0192_14,25,nyt_eng_200607,"Instead , it was hidden innocuously between editions of new diet books and re-releases of The Da Vinci Code .","If you 're expecting insight , new revelations of T.O. 's stormy relationship with Eagles quarterback Donovan McNabb or other juicy tidbits , you 'll be sadly disappointed ."
nyt_eng_20060707_0051_1:26,unknown-polarity,so_worried,so,worried,"His trademark goofy smile refusing to waver , Phil Mickelson walked the fairways at Cog Hill on Thursday like a man wondering why everyone was so worried .",nyt_eng_20060707_0051_1,26,nyt_eng_200607,,"He shrugged at the squeals of encouragement , waved to the crowd after frequently hitting good shots ."
nyt_eng_20060706_0315_19:16,unknown-polarity,very_anxious,very,anxious,"-LBQ-  It 's my passion speaking ,  -RDQ-  he said , but  -LBQ-  everyone is very anxious , and I fear for my son .",nyt_eng_20060706_0315_19,16,nyt_eng_200607,Then he apologized again .,Resistance comes from the womb of suffering .  -RDQ-
nyt_eng_20060706_0123_38:8,unknown-polarity,too_tortured,too,tortured,"It 's too dark , everyone is too tortured , and the production feels like it 's trying so hard to be a  -LBQ-  great drama .  -RDQ-",nyt_eng_20060706_0123_38,8,nyt_eng_200607,"As is often the case with  -LBQ-  Showtime  -RDQ-  dramas , it 's all so exhaustingly dire , and you can see the effort behind the show .","It ends up a pretty good drama , but without a little more subtlety and a lot more humanity , it 'll wear viewers out after a while ."
nyt_eng_20060701_0063_27:4,unknown-polarity,so_enamored,so,enamored,Not everyone is so enamored of New York 's embrace of aerial policing .,nyt_eng_20060701_0063_27,4,nyt_eng_200607,It 's an exciting time .  -RDQ-,"Civil libertarians worry about the potential for abuse , citing an incident during the Republican National Convention in 2004 in which a police helicopter 's night vision camera secretly recorded a couple as they enjoyed what they thought was a private moment on a Manhattan rooftop ."
nyt_eng_20030126_0010_24:5,unknown-polarity,nauseatingly_respectful,nauseatingly,respectful,Everyone is just so nauseatingly respectful .,nyt_eng_20030126_0010_24,5,nyt_eng_200301,"Everyone is so careful now , so professional .","Even the Raiders , once kings of wildness , all but showed up in suit and tie ."
nyt_eng_20030126_0010_23:3,unknown-polarity,so_careful,so,careful,"Everyone is so careful now , so professional .",nyt_eng_20030126_0010_23,3,nyt_eng_200301,"It 's a corporate happening , and even the teams seem to be onboard .",Everyone is just so nauseatingly respectful .
nyt_eng_20030113_0408_6:33,unknown-polarity,relatively_healthy,relatively,healthy,"The Los Angeles Lakers are winning again -LRB- four in a row , seven of nine -RRB- , they 're closing in on the eighth seed in the West and everyone is relatively healthy and thriving again .",nyt_eng_20030113_0408_6,33,nyt_eng_200301,Everything has changed in three short weeks .,"But the streak has come mostly at the expense of sub -.500 teams , mostly at home , and will mean little if the Lakers ca n't win on the road or beat playoff teams ."
