hit_id,category,colloc,adv,adj,sent_text,sent_id,adv_index,json_source,prev_sent,next_sent,label,status
nyt_eng_20010319_0117_1:35,unknown-polarity,painstakingly_chronicled,painstakingly,chronicled,"Each season , as the moda machine gets rolling , all the hype centers on a relatively small number of houses , the megadesigners and the small , influential types whose every move is painstakingly chronicled .",nyt_eng_20010319_0117_1,35,nyt_eng_200103,,"What will Tom do ? Miuccia ? What about Veronique next week in Paris ? But , while their muses may dominate conversation , they 're not the only girls around .",nyt_eng_20010319_0117_1:35_discard,discard
nyt_eng_20010311_0148_4:20,unknown-polarity,highly_leveraged,highly,leveraged,"-LBQ-  Every sector here , whether we talk about the banks , corporations , households or the government is highly leveraged .  -RDQ-",nyt_eng_20010311_0148_4,20,nyt_eng_200103,"-LBQ-  If incomes do n't rise in nominal terms _ and they are n't _ you are having to run faster to meet your mortgage obligations ,  -RDQ-  said Jesper Koll , chief economist at Merrill Lynch in Tokyo .","A number of economists , however , argue that Japan needs more deflation as a form of shock therapy  -COL-  fewer debts , greater efficiency and a reallocation of labor , they say , is precisely the bitter medicine the economy must swallow .",nyt_eng_20010311_0148_4:20_discard,discard
nyt_eng_20010301_0120_2:8,unknown-polarity,so_lucky,so,lucky,"Well , every up-and-coming actress should be so lucky .",nyt_eng_20010301_0120_2,8,nyt_eng_200103,"-LBQ-  Matt Damon cut my hair ,  -RDQ-  says Franka Potente , explaining why her locks _ last seen as a crimson mop on the title character in  -LBQ-  Run Lola Run  -RDQ-  _ are hidden under a snowboarder 's knit cap .","Especially since it was actually a wig that Damon sheared , in a scene for  -LBQ-  The Bourne Identity ,  -RDQ-  Potente 's first Hollywood megaspectacle .",nyt_eng_20010301_0120_2:8_discard,discard
nyt_eng_20000131_0307_16:20,unknown-polarity,enormously_gorgeous,enormously,gorgeous,"Sally is played by a strikingly beautiful Carmen Ejogo -LRB- every Sally I 've seen so far has been enormously gorgeous , which points to the creators ' theories that Jefferson simply could n't help himself -RRB- , who falls for the rich and influential statesman while working as Jefferson 's maid in Paris .",nyt_eng_20000131_0307_16,20,nyt_eng_200001,Even CBS '  -LBQ-  Sally Hemings  -COL-  An American Scandal  -RDQ-  -LRB- the fact that  -LBQ-  scandal  -RDQ-  is used in the title suggests the kind of viewers CBS wants to attract -RRB- as a four-hour miniseries exploring the origins of the controversial 38-year relationship between Thomas Jefferson -LRB- Sam Neill -RRB- and his slave is more a dramatic serial than historical examination .,"As  -LBQ-  Sally Hemings  -RDQ-  shifts back to America , Sally , now a slave , continues the affair , giving birth to Jefferson 's children , which threatens Jefferson 's presidency and wealth .",nyt_eng_20000131_0307_16:20_discard,discard
nyt_eng_20000131_0291_16:20,unknown-polarity,enormously_gorgeous,enormously,gorgeous,"Sally is played by a strikingly beautiful Carmen Ejogo -LRB- every Sally I 've seen so far has been enormously gorgeous , which points to the creators ' theories that Jefferson simply could n't help himself -RRB- , who falls for the rich and influential statesman while working as Jefferson 's maid in Paris .",nyt_eng_20000131_0291_16,20,nyt_eng_200001,Even CBS '  -LBQ-  Sally Hemings  -COL-  An American Scandal  -RDQ-  -LRB- the fact that  -LBQ-  scandal  -RDQ-  is used in the title suggests the kind of viewers CBS wants to attract -RRB- as a four-hour miniseries exploring the origins of the controversial 38-year relationship between Thomas Jefferson -LRB- Sam Neill -RRB- and his slave is more a dramatic serial than historical examination .,"As  -LBQ-  Sally Hemings  -RDQ-  shifts back to America , Sally , now a slave , continues the affair , giving birth to Jefferson 's children , which threatens Jefferson 's presidency and wealth .",nyt_eng_20000131_0291_16:20_discard,discard
nyt_eng_20000521_0056_8:24,unknown-polarity,now_fact-checked,now,fact-checked,"Gov. George W. Bush of Texas regularly suggests that Gore is a natural-born phony , and the vice president 's every remark is now fact-checked so scrupulously that when he recently said he had once dreamed of becoming a teacher , reporters wondered if he could prove it .",nyt_eng_20000521_0056_8,24,nyt_eng_200005,That perception has clearly become a political problem for the vice president .,The questions are about more than Gore 's claims about the Internet and  -LBQ-  Love Story .  -RDQ-,nyt_eng_20000521_0056_8:24_discard,discard
nyt_eng_20000518_0096_29:5,unknown-polarity,so_pure,so,pure,Not every pander is so pure .,nyt_eng_20000518_0096_29,5,nyt_eng_200005,"At an MSNBC  -LBQ-  Silicon Valley Technology Summit  -RDQ-  in February , Jeff Bezos of Amazon , Meg Whitman of eBay and Jerry Yang of Yahoo ! , among other e-commerce heavyweights , all told Tom Brokaw they 're prepared to pay sales taxes like everyone else , though some clung to the five-year moratorium fiction .","But most proposals for the government to help the Internet enjoy the same self-contradiction  -COL-  The Internet is the most powerful social force to come along for a millennium or so , and yet it is so weak and feverish that Dr. Pol is needed to write a bunch of prescriptions and hope the patient will pull through .",nyt_eng_20000518_0096_29:5_discard,discard
nyt_eng_20000508_0050_32:13,unknown-polarity,absurdly_gorgeous,absurdly,gorgeous,"Realism has its limits , though ; nearly every character is still absurdly gorgeous .",nyt_eng_20000508_0050_32,13,nyt_eng_200005,"The lineup is chock full of  -LBQ-  90210  -RDQ-  wannabes and their descendants , like  -LBQ-  Dawson 's Creek ,  -RDQ-   -LBQ-  Felicity  -RDQ-  and  -LBQ-  Popular ,  -RDQ-  all frantically tackling every teen-age subject imaginable .",_ By HUBERT B. HERRING,nyt_eng_20000508_0050_32:13_discard,discard
nyt_eng_20000506_0065_32:13,unknown-polarity,absurdly_gorgeous,absurdly,gorgeous,"Realism has its limits , though ; nearly every character is still absurdly gorgeous .",nyt_eng_20000506_0065_32,13,nyt_eng_200005,"The lineup is chock full of  -LBQ-  90210  -RDQ-  wannabes and their descendants , like  -LBQ-  Dawson 's Creek ,  -RDQ-   -LBQ-  Felicity  -RDQ-  and  -LBQ-  Popular ,  -RDQ-  all frantically tackling every teen-age subject imaginable .",_ By HUBERT B. HERRING,nyt_eng_20000506_0065_32:13_discard,discard
nyt_eng_20000506_0064_32:13,unknown-polarity,absurdly_gorgeous,absurdly,gorgeous,"Realism has its limits , though ; nearly every character is still absurdly gorgeous .",nyt_eng_20000506_0064_32,13,nyt_eng_200005,"The lineup is chock full of  -LBQ-  90210  -RDQ-  wannabes and their descendants , like  -LBQ-  Dawson 's Creek ,  -RDQ-   -LBQ-  Felicity  -RDQ-  and  -LBQ-  Popular ,  -RDQ-  all frantically tackling every teen-age subject imaginable .",_ By HUBERT B. HERRING,nyt_eng_20000506_0064_32:13_discard,discard
