key,f,exp_f,unexp_f,dP1,P1,dP2,P2,LRC,G2,N,f1,f2,l1,l2
inherently~governmental,253,0.49942735,252.50057265,0.33180448,0.3324573,0.005285576,0.005292555,8.91852,2742.593,72839589,47803,761,inherently,governmental
inherently~unequal,390,3.6889371,386.3110629,0.068731695,0.069382675,0.008086621,0.008158484,6.3787823,2893.1391,72839589,47803,5621,inherently,unequal
inherently~evil,1123,14.901442,1108.098558,0.048817232,0.04945829,0.023195745,0.023492249,6.0516167,7572.6189,72839589,47803,22706,inherently,evil
inherently~coercive,94,0.82231599,93.17768401,0.07436495,0.075019956,0.0019504817,0.0019664038,5.984093,711.85672,72839589,47803,1253,inherently,coercive
inherently~unstable,806,14.796438,791.203562,0.035103723,0.035749134,0.016562207,0.016860867,5.5167985,4903.1768,72839589,47803,22546,inherently,unstable
inherently~sinful,145,2.0075536,142.9924464,0.046746798,0.04740111,0.0029932505,0.0030332825,5.491745,962.38581,72839589,47803,3059,inherently,sinful
inherently~flawed,899,18.131641,880.868359,0.031895272,0.032539453,0.018439153,0.018806351,5.393309,5301.7365,72839589,47803,27628,inherently,flawed
inherently~untrustworthy,69,0.79475233,68.20524767,0.056322362,0.056977704,0.0014277354,0.001443424,5.3856893,483.6139,72839589,47803,1211,inherently,untrustworthy
inherently~interdisciplinary,94,1.2508654,92.7491346,0.04866294,0.049317945,0.0019415108,0.0019664038,5.3493066,631.33169,72839589,47803,1906,inherently,interdisciplinary
inherently~discriminatory,175,2.9407805,172.0592195,0.038399868,0.039053783,0.003601703,0.0036608581,5.2748165,1093.3382,72839589,47803,4481,inherently,discriminatory
