line_in_source,hit_id,colloc,adv,adj,sent_text,sent_id,adv_index,corpus_segment,date,year,polarity,context,context_word,context_type,in_basic,context_overlap
340161,nyt_eng_19970720_0176_8:3,82-150_all-time,82-150,all-time,It 's 82-150 all-time at Yankee Stadium and 95-140 all-time at Fenway Park .,nyt_eng_19970720_0176_8,3,nyt_eng_19970720,1997-07-20,1997,positive,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,False
100773,nyt_eng_19950731_0382_1:12,about_dead,about,dead,"Expectations for another interest-rate cut by the Federal Reserve are just about dead , traders and financial markets say .",nyt_eng_19950731_0382_1,12,nyt_eng_19950731,1995-07-31,1995,positive,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,False
189622,nyt_eng_19960419_0210_10:18,about_halfway,about,halfway,"Randstad , which is hiring 19,000 employees , including 11,000 for ACOG 's transportation system , is about halfway to its goal .",nyt_eng_19960419_0210_10,18,nyt_eng_19960419,1996-04-19,1996,positive,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,False
377386,nyt_eng_19971103_0165_19:4,absolutely_confident,absolutely,confident,-LBQ-  I 'm absolutely confident LIFFE will remain the dominant exchange in Europe .,nyt_eng_19971103_0165_19,4,nyt_eng_19971103,1997-11-03,1997,positive,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,False
397179,nyt_eng_19971229_0446_10:9,absolutely_convinced,absolutely,convinced,"A year or so ago , I was absolutely convinced that nobody in the world could fit a big performance hall on that one little block , but they by-gosh did exactly that .",nyt_eng_19971229_0446_10,9,nyt_eng_19971229,1997-12-29,1997,positive,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,False
39883,nyt_eng_19971018_0121_28:9,absolutely_dependent,absolutely,dependent,The opponents argue that the Makah are not absolutely dependent on whaling in the way that indigenous peoples in Alaska rely on the bowhead whales that they are allowed to hunt by the whaling commission .,nyt_eng_19971018_0121_28,9,nyt_eng_19971018,1997-10-18,1997,negative,not_VP-adv,not,VP-adv,True,False
244337,nyt_eng_19961009_0725_26:9,absolutely_dependent,absolutely,dependent,"As a quarterback , I 'm 100 percent absolutely dependent on my offensive line , the running backs and the tight ends for my protection .  -RDQ-",nyt_eng_19961009_0725_26,9,nyt_eng_19961009,1996-10-09,1996,positive,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,False
396752,nyt_eng_19971227_0161_22:24,absolutely_focused,absolutely,focused,"-LBQ-  I attend a lot of events with him , and donors and participants and attendees come away with the feeling he is absolutely focused on making the party competitive in the '98 campaign .",nyt_eng_19971227_0161_22,24,nyt_eng_19971227,1997-12-27,1997,positive,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,False
131070,nyt_eng_19951031_0524_28:11,absolutely_longing,absolutely,longing,"-LBQ-  What they all did n't know was I was absolutely longing to be married and have children ,  -RDQ-  Ms. Caldwell said .",nyt_eng_19951031_0524_28,11,nyt_eng_19951031,1995-10-31,1995,positive,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,False
342870,nyt_eng_19970728_0700_12:5,absolutely_nonsensical,absolutely,nonsensical,"-LBQ-  It would be absolutely nonsensical to do away with an instrument with which important countries of the world can get together _ countries that have the same values , countries that have to do a lot of things together in the future ,  -RDQ-  Solana said during an interview with Globe editors and reporters .",nyt_eng_19970728_0700_12,5,nyt_eng_19970728,1997-07-28,1997,positive,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,False
104153,nyt_eng_19950809_0511_10:7,absolutely_right,absolutely,right,-LBQ-  I think the President is absolutely right in saying he 's not going to do it unless he 's got something that 's clearly the right thing for the country in terms of these four criteria .  -RDQ-,nyt_eng_19950809_0511_10,7,nyt_eng_19950809,1995-08-09,1995,positive,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,False
227135,nyt_eng_19960820_0494_12:6,absolutely_untouchable,absolutely,untouchable,"-LBQ-  My little model is absolutely untouchable to me ,  -RDQ-  he insists .",nyt_eng_19960820_0494_12,6,nyt_eng_19960820,1996-08-20,1996,positive,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,False
202041,nyt_eng_19960524_0334_14:10,academically_substandard,academically,substandard,"So be it , if the program was really academically substandard and in administrative disarray .",nyt_eng_19960524_0334_14,10,nyt_eng_19960524,1996-05-24,1996,positive,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,False
342434,nyt_eng_19970727_0045_3:23,actually_alive,actually,alive,"Roy Connerly , gone from his son Ward 's life for 56 years and thought most likely to be dead , is actually alive in Leesville .",nyt_eng_19970727_0045_3,23,nyt_eng_19970727,1997-07-27,1997,positive,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,False
403224,nyt_eng_19980116_0202_19:28,actually_compelling,actually,compelling,"The inclination is to snort derisively , even though a couple of the drag performances _ especially from Brent Carver as Vallier 's progressive-thinking mother _ are actually compelling .",nyt_eng_19980116_0202_19,28,nyt_eng_19980116,1998-01-16,1998,positive,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,False
35369,nyt_eng_19941209_0134_12:5,actually_good,actually,good,"Busey , who was actually good years ago in  -LBQ-  The Buddy Holly Story ,  -RDQ-  appears to be a recent graduate of the Adrenaline School of Acting .",nyt_eng_19941209_0134_12,5,nyt_eng_19941209,1994-12-09,1994,positive,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,False
84172,nyt_eng_19950610_0263_20:12,actually_profitable,actually,profitable,That company is seen standing a better chance because it 's actually profitable and has near-term prospects for growth .,nyt_eng_19950610_0263_20,12,nyt_eng_19950610,1995-06-10,1995,positive,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,False
